Rank,Country,Average Monthly Net Salary (US$)
1,Switzerland,6142.1
2,Singapore,4350.79
3,Australia,4218.89
4,United States,3721.64
5,United Arab Emirates,3663.27
6,Norway,3457.69
7,Canada,3338.62
8,Denmark,3294.72
9,Iceland,3237.11
10,Netherlands,3215.52
11,Qatar,3168.05
12,Hong Kong,3070.98
13,New Zealand,2860.19
14,Germany,2835.59
15,Israel,2766.16
16,United Kingdom,2764.57
17,Ireland,2707.84
18,Sweden,2663.76
19,Finland,2542.21
20,Japan,2476.7
21,Belgium,2354.96
22,France,2331.13
23,South Korea,2180.33
24,Austria,2175.48
25,Saudi Arabia,1888.68
26,Kuwait,1854.45
27,Puerto Rico,1810.94
28,Bahrain,1728.74
29,Spain,1711.65
30,Oman,1626.64
31,Italy,1496.4
32,Taiwan,1457.92
33,Czech Republic,1425.46
34,South Africa,1362.35
35,Cyprus,1317.52
36,Estonia,1257.69
37,Malta,1216.36
38,Slovenia,1192.02
39,China,1122.36
40,Lithuania,1057.07
41,Portugal,984.75
42,Poland,981.38
43,Slovakia,966.82
44,Croatia,959.59
45,Latvia,917.66
46,Malaysia,855.11
47,Lebanon,837.19
48,Russia,824.25
49,Trinidad And Tobago,818.36
50,Hungary,791.63
51,Greece,791.49
52,Palestine,778.81
53,Romania,727.96
54,Costa Rica,722.32
55,India,718.38
56,Panama,717.88
57,Bulgaria,700.52
58,Uruguay,691.45
59,Mexico,648.6
60,Chile,605.66
61,Jamaica,580.34
62,Chile,579.57
63,Bosnia And Herzegovina,551.71
64,India,541.06
65,Serbia,535.04
66,Honduras,509.71
67,Ecuador,496.37
68,Guatemala,490.95
69,Thailand,490.88
70,Belarus,488.21
71,Armenia,484.88
72,Mauritius,484.25
73,Bolivia,456.37
74,Kazakhstan,436.83
75,Argentina,425.97
76,Vietnam,421.95
77,El Salvador,415
78,Kenya,405.79
79,Moldova,398.76
80,Brazil,397.08
81,Kosovo (Disputed Territory),396.88
82,Ukraine,394.82
83,Iran,388.71
84,Peru,385.42
85,North Macedonia,381.34
86,Albania,376.74
87,Dominican Republic,374.82
88,Morocco,362.44
89,Azerbaijan,358.51
90,Indonesia,330.58
91,Turkey,322.57
92,Philippines,281.85
93,Uzbekistan,281.33
94,Libya,277.93
95,Tunisia,272.01
96,Colombia,270.55
97,Algeria,258.72
98,Bangladesh,250.63
99,Nepal,191.15
100,Venezuela,186.44
101,Egypt,174.66
102,Nigeria,163.96
103,Ghana,162.16
104,Pakistan,161.95
105,Sri Lanka,146.33
