CountryCode,CountryName,Year,Number of Hospitals,Number of General hospitals,Number of Publicly owned hospitals,Number of Not-for-profit privately owned hospitals,Number of For-profit privately owned hospitals,Total hospital beds,Number of Beds in publicly owned hospitals,Number of Beds in not-for-profit privately owned hospitals,Number of Beds in for-profit privately owned hospitals,Number of Generalist medical practitioners,Number of Specialist medical practitioners,Number of Medical doctors not further defined,Number of Practising nurses,Remuneration of hospital nurses,Remuneration of specialists,Remuneration of general practitioners,HAQ,Population,Number of hospitals per capita,Area
DEU,Germany,2010,3301,1758,852,1076,1373,674473,273789,200672,200012,74113,229532,0,807000,51434,163726,,84.9,81776930.00,0.008247717,Europe
DEU,Germany,2015,3108,1619,806,979,1323,664364,271236,193286,199842,78201,259928,0,876000,,147676,185289.0,86.4,81776930.00,0.008124101,Europe
DEU,Germany,2019,3026,1576,750,951,1325,657662,264446,189580,203636,83049,282051,0,980000,,160645,210461.0,NA,81776930.00,0.008042146,Europe
DEU,Germany,2020,3006,1558,762,914,1330,650167,261027,184177,204963,85471,286085,0,1003000,,166989,,NA,81776930.00,0.007950494,Europe
GBR,United Kingdom,2010,,,,,,183831,183831,,,48641,118033,,527560,51712,172755,89465.0,82.7,62766365.00,0.002928814,Europe
GBR,United Kingdom,2015,1882,767,1882,,,169995,169995,,,50169,130719,,514850,52914,173263,85403.0,84.6,62766365.00,0.002708377,Europe
GBR,United Kingdom,2019,1978,764,1978,,,163873,163873,,,51096,145367,,547661,47112,150858,81180.0,NA,62766365.00,0.002610841,Europe
GBR,United Kingdom,2020,1921,727,1921,,,162723,162723,,,52034,151873,,567803,48645,155767,83846.0,NA,62766365.00,0.002592519,Europe
CRI,Costa Rica,2010,40,,29,0,11,5613,5613,,,,,,,30516,43259,39829.0,70.8,4577371.00,0.00122625,Latin America and the Caribbean
CRI,Costa Rica,2015,43,,30,0,13,5611,5611,,,,,,,36389,56229,50297.0,72.9,4577371.00,0.001225813,Latin America and the Caribbean
CRI,Costa Rica,2019,44,,30,0,14,5548,5548,,,,,,,34631,53296,47685.0,NA,4577371.00,0.001212049,Latin America and the Caribbean
CRI,Costa Rica,2020,44,,30,0,14,5876,5680,0,196,,,,,31589,47526,42535.0,NA,4577371.00,0.001283706,Latin America and the Caribbean
PRT,Portugal,2010,231,170,129,50,52,35646,26048,6533,3065,21170,20956,,,24729,62638,67463.0,81.9,10573100.00,0.003371386,Europe
PRT,Portugal,2015,225,169,114,54,57,34890,24027,6980,3883,24940,24296,,,19183,44751,47797.0,84.5,10573100.00,0.003299884,Europe
PRT,Portugal,2019,240,178,113,57,70,36092,24386,7171,4535,29079,26998,,,20881,48714,45654.0,NA,10573100.00,0.003413568,Europe
PRT,Portugal,2020,241,179,113,57,71,36332,24424,7175,4733,30098,27728,,,21463,48225,49756.0,NA,10573100.00,0.003436268,Europe
NLD,Netherlands,2010,427,102,0,183,244,68450,,68450,,20848,28394,0,,63670,195014,117140.0,88.2,16615394.00,0.004119674,Europe
NLD,Netherlands,2015,517,81,0,143,374,59117,,59117,,26490,32654,0,178340,59119,167115,109343.0,89.5,16615394.00,0.003557966,Europe
NLD,Netherlands,2019,568,75,0,133,435,52398,,52398,,30107,35014,0,186801,63111,175207,124916.0,NA,16615394.00,0.003153582,Europe
NLD,Netherlands,2020,618,75,0,134,484,50777,,50777,,31037,35833,0,193206,68590,183744,127128.0,NA,16615394.00,0.003056021,Europe
BEL,Belgium,2010,195,131,46,149,,66645,18150,48495,,12228,19153,434,104513,77197,132063,119881.0,86.3,10895586.00,0.006116697,Europe
BEL,Belgium,2015,179,116,40,139,,65753,17200,48553,,12693,20881,446,122127,72448,127884,114303.0,87.9,10895586.00,0.006034829,Europe
BEL,Belgium,2019,164,104,38,126,,63962,16738,47224,,13425,22450,468,,77845,129583,131102.0,NA,10895586.00,0.005870451,Europe
