,Country code,Year,Financing scheme,Function,Provider,Share of current expenditure on health (in %),Share of gross domestic product (in %)
0,AUS,2010,All financing schemes,Current expenditure on health (all functions),Hospitals,43.417,3.657
1,AUS,2010,All financing schemes,Current expenditure on health (all functions),Providers of ambulatory health care,28.381,2.391
2,AUS,2010,All financing schemes,Current expenditure on health (all functions),Providers of preventive care,1.56,0.131
3,AUS,2010,All financing schemes,Current expenditure on health (all functions),Providers of health care system administration and financing,3.011,0.254
4,AUS,2010,All financing schemes,Current expenditure on health (all functions),Retailers and other providers of medical goods,17.72,1.493
5,AUS,2010,All financing schemes,Current expenditure on health (all functions),Providers of ancillary services,5.706,0.481
6,AUS,2010,All financing schemes,Current expenditure on health (all functions),All providers,100.0,8.423
7,AUS,2010,All financing schemes,Current expenditure on health (all functions),Rest of the economy,0.205,0.017
8,AUS,2010,All financing schemes,Outpatient curative and rehabilitative care,Providers of ambulatory health care,24.786,2.088
9,AUS,2010,All financing schemes,Outpatient curative and rehabilitative care,Hospitals,7.297,0.615
10,AUS,2010,All financing schemes,Outpatient curative and rehabilitative care,Providers of health care system administration and financing,0.134,0.011
11,AUS,2010,All financing schemes,Outpatient curative and rehabilitative care,All providers,32.217,2.714
12,AUS,2010,All financing schemes,Long-term care (health),Hospitals,1.186,0.1
13,AUS,2010,All financing schemes,Long-term care (health),Providers of ambulatory health care,0.013,0.001
14,AUS,2010,All financing schemes,Long-term care (health),Providers of health care system administration and financing,0.004,0.0
15,AUS,2010,All financing schemes,Long-term care (health),All providers,1.203,0.101
16,AUS,2010,All financing schemes,Medical goods (non-specified by function),Hospitals,0.906,0.076
17,AUS,2010,All financing schemes,Medical goods (non-specified by function),Providers of ambulatory health care,0.045,0.004
18,AUS,2010,All financing schemes,Medical goods (non-specified by function),Retailers and other providers of medical goods,17.72,1.493
19,AUS,2010,All financing schemes,Medical goods (non-specified by function),All providers,18.671,1.573
20,AUS,2010,All financing schemes,Preventive care,Providers of ambulatory health care,0.025,0.002
21,AUS,2010,All financing schemes,Preventive care,Providers of preventive care,1.56,0.131
22,AUS,2010,All financing schemes,Preventive care,Hospitals,0.012,0.001
23,AUS,2010,All financing schemes,Preventive care,Providers of health care system administration and financing,0.169,0.014
24,AUS,2010,All financing schemes,Preventive care,All providers,1.781,0.15
