,Country,Country Code,Year,Category of R&D,R&D expenses as PC_GDP (total GOV),R&D expenses as PC_GDP (total HES),R&D expenses as PC_GDP (total BES),R&D expenses as PC_GDP (total)
0,Czech Republic,CZE,2010,FORD3,0.03,0.05,0.05,0.12
1,Czech Republic,CZE,2010,TOTAL,0.3,0.27,0.75,1.33
2,Czech Republic,CZE,2015,FORD3,0.02,0.07,0.05,0.14
3,Czech Republic,CZE,2015,TOTAL,0.39,0.48,1.04,1.92
4,Czech Republic,CZE,2019,FORD3,0.02,0.06,0.04,0.12
5,Czech Republic,CZE,2019,TOTAL,0.31,0.42,1.19,1.93
6,Czech Republic,CZE,2020,FORD3,0.02,0.06,0.04,0.12
7,Czech Republic,CZE,2020,TOTAL,0.34,0.43,1.21,1.99
8,Spain,ESP,2010,FORD3,0.09,0.05,,
9,Spain,ESP,2010,TOTAL,0.27,0.38,0.7,1.36
10,Spain,ESP,2015,FORD3,0.08,0.05,,
11,Spain,ESP,2015,TOTAL,0.23,0.34,0.64,1.22
12,Spain,ESP,2019,FORD3,0.07,0.06,,
13,Spain,ESP,2019,TOTAL,0.21,0.33,0.7,1.25
14,Spain,ESP,2020,FORD3,0.08,0.06,,
15,Spain,ESP,2020,TOTAL,0.25,0.37,0.78,1.41
16,Hungary,HUN,2010,FORD3,0.01,0.04,0.03,0.08
17,Hungary,HUN,2010,FORD301,0.01,0.02,0.01,0.03
18,Hungary,HUN,2010,FORD302,0.0,0.02,0.01,0.03
19,Hungary,HUN,2010,FORD303,0.0,0.0,0.0,0.01
20,Hungary,HUN,2010,FORD304,,0.0,0.01,0.01
21,Hungary,HUN,2010,FORD305,0.0,0.0,0.0,0.0
22,Hungary,HUN,2010,TOTAL,0.21,0.22,0.67,1.13
23,Hungary,HUN,2015,FORD3,0.03,0.04,0.02,0.09
24,Hungary,HUN,2015,TOTAL,0.18,0.16,0.98,1.34
25,Hungary,HUN,2019,FORD3,0.01,0.05,0.03,0.1
26,Hungary,HUN,2019,TOTAL,0.15,0.21,1.11,1.48
27,Hungary,HUN,2020,FORD3,0.02,0.05,0.03,0.09
28,Hungary,HUN,2020,TOTAL,0.16,0.21,1.22,1.6
29,Korea,KOR,2010,FORD3,0.01,0.06,0.28,0.36
30,Korea,KOR,2010,TOTAL,0.42,0.36,2.48,3.32
31,Korea,KOR,2015,FORD3,0.02,0.07,0.09,0.19
32,Korea,KOR,2015,TOTAL,0.47,0.36,3.08,3.98
33,Korea,KOR,2019,FORD3,0.02,0.09,0.11,0.23
34,Korea,KOR,2019,TOTAL,0.46,0.38,3.72,4.63
35,Korea,KOR,2020,TOTAL,0.49,0.43,3.81,4.81
36,Lithuania,LTU,2010,FORD3,0.01,0.06,,
37,Lithuania,LTU,2010,TOTAL,0.14,0.42,0.23,0.78
38,Lithuania,LTU,2015,FORD3,0.02,0.08,,
39,Lithuania,LTU,2015,TOTAL,0.18,0.58,0.29,1.04
40,Lithuania,LTU,2019,FORD3,0.02,0.05,,
41,Lithuania,LTU,2019,TOTAL,0.2,0.36,0.43,0.99
42,Lithuania,LTU,2020,FORD3,0.02,0.06,,
43,Lithuania,LTU,2020,TOTAL,0.18,0.42,0.56,1.17
44,Latvia,LVA,2010,FORD3,0.01,0.02,0.02,0.04
45,Latvia,LVA,2010,FORD301,No data,0.0,0.01,0.01
46,Latvia,LVA,2010,FORD302,0.0,0.01,0.0,0.02
47,Latvia,LVA,2010,FORD303,No data,,0.0,0.0
48,Latvia,LVA,2010,FORD304,No data,,0.0,0.0
49,Latvia,LVA,2010,FORD305,0.01,0.0,0.0,0.01
50,Latvia,LVA,2010,TOTAL,0.14,0.24,0.22,0.61
51,Latvia,LVA,2015,FORD3,0.01,0.04,,
52,Latvia,LVA,2015,TOTAL,0.16,0.31,0.15,0.62
53,Latvia,LVA,2019,FORD3,0.04,0.03,0.03,0.1
54,Latvia,LVA,2019,TOTAL,0.12,0.35,0.17,0.64
55,Latvia,LVA,2020,FORD3,0.03,0.04,0.02,0.09
56,Latvia,LVA,2020,TOTAL,0.13,0.35,0.22,0.71
57,Netherlands,NLD,2010,TOTAL,0.2,0.69,0.82,1.7
58,Netherlands,NLD,2015,FORD3,0.01,0.2,,
59,Netherlands,NLD,2015,TOTAL,0.13,0.64,1.38,2.15
60,Netherlands,NLD,2019,FORD3,0.01,0.18,,
61,Netherlands,NLD,2019,TOTAL,0.12,0.6,1.46,2.18
62,Netherlands,NLD,2020,FORD3,0.01,0.19,,
63,Netherlands,NLD,2020,TOTAL,0.13,0.64,1.54,2.31
64,Portugal,PRT,2010,FORD3,0.03,0.07,0.05,0.17
65,Portugal,PRT,2010,FORD301,0.0,0.01,0.0,0.01
66,Portugal,PRT,2010,FORD302,0.02,0.02,0.04,0.07
67,Portugal,PRT,2010,FORD303,0.01,0.05,0.01,0.08
68,Portugal,PRT,2010,FORD304,0.0,0.0,0.0,0.01
69,Portugal,PRT,2010,FORD305,0.0,0.0,0.0,0.01
70,Portugal,PRT,2010,TOTAL,0.11,0.57,0.71,1.54
71,Portugal,PRT,2015,FORD3,0.03,0.08,0.05,0.16
72,Portugal,PRT,2015,TOTAL,0.08,0.57,0.58,1.24
73,Portugal,PRT,2019,FORD3,0.02,0.08,0.07,0.17
74,Portugal,PRT,2019,TOTAL,0.07,0.56,0.73,1.4
75,Portugal,PRT,2020,FORD3,0.03,0.08,0.08,0.19
76,Portugal,PRT,2020,TOTAL,0.08,0.58,0.92,1.62
77,Slovenia,SVN,2010,FORD3,0.02,0.04,0.01,0.06
78,Slovenia,SVN,2010,TOTAL,0.37,0.29,1.39,2.05
79,Slovenia,SVN,2015,FORD3,0.02,0.04,0.26,0.31
80,Slovenia,SVN,2015,TOTAL,0.3,0.22,1.67,2.2
81,Slovenia,SVN,2019,FORD3,0.02,0.04,0.26,0.32
82,Slovenia,SVN,2019,TOTAL,0.28,0.24,1.51,2.05
83,Slovenia,SVN,2020,FORD3,,0.04,0.27,0.33
84,Slovenia,SVN,2020,TOTAL,0.3,0.26,1.57,2.15
85,Turkiye,TUR,2010,FORD3,0.0,0.13,0.01,0.14
86,Turkiye,TUR,2010,TOTAL,0.09,0.37,0.34,0.79
87,Turkiye,TUR,2015,FORD3,0.0,0.12,0.01,0.13
88,Turkiye,TUR,2015,TOTAL,0.09,0.35,0.44,0.88
89,Turkiye,TUR,2019,FORD3,0.0,0.1,0.02,0.12
90,Turkiye,TUR,2019,TOTAL,0.07,0.31,0.68,1.06
91,Turkiye,TUR,2020,FORD3,0.0,0.11,0.02,0.13
92,Turkiye,TUR,2020,TOTAL,0.07,0.31,0.71,1.09
93,Austria,AUT,2010,TOTAL,0.14,0.7,1.87,2.73
94,Austria,AUT,2015,FORD3,,0.17,No data,No data
95,Austria,AUT,2015,TOTAL,0.14,0.72,2.18,3.05
96,Austria,AUT,2019,FORD3,0.07,0.16,No data,No data
97,Austria,AUT,2019,TOTAL,0.23,0.68,2.2,3.13
98,Austria,AUT,2020,TOTAL,0.24,0.72,2.24,3.22
99,Belgium,BEL,2010,FORD3,0.0,0.14,No data,No data
100,Belgium,BEL,2010,TOTAL,0.17,0.48,1.38,2.06
101,Belgium,BEL,2015,FORD3,0.01,0.15,No data,No data
102,Belgium,BEL,2015,TOTAL,0.22,0.49,1.7,2.43
103,Belgium,BEL,2019,FORD3,0.01,0.15,No data,No data
104,Belgium,BEL,2019,TOTAL,0.28,0.53,2.33,3.16
105,Belgium,BEL,2020,TOTAL,0.28,0.57,2.49,3.38
106,Germany,DEU,2010,FORD3,0.03,0.13,No data,No data
107,Germany,DEU,2010,TOTAL,0.4,0.5,1.83,2.73
108,Germany,DEU,2015,FORD3,0.04,0.12,No data,No data
109,Germany,DEU,2015,TOTAL,0.41,0.51,2.01,2.93
110,Germany,DEU,2019,FORD3,0.04,0.13,No data,No data
111,Germany,DEU,2019,TOTAL,0.43,0.55,2.18,3.17
112,Germany,DEU,2020,FORD3,0.05,0.14,No data,No data
113,Germany,DEU,2020,TOTAL,0.46,0.59,2.09,3.13
114,Estonia,EST,2010,FORD3,0.06,0.07,No data,
115,Estonia,EST,2010,TOTAL,0.17,0.6,0.79,1.58
116,Estonia,EST,2015,FORD3,0.07,0.09,No data,
117,Estonia,EST,2015,TOTAL,0.16,0.61,0.68,1.47
118,Estonia,EST,2019,FORD3,0.08,0.06,No data,
119,Estonia,EST,2019,TOTAL,0.17,0.58,0.87,1.63
120,Estonia,EST,2020,FORD3,0.07,0.08,No data,
121,Estonia,EST,2020,TOTAL,0.18,0.6,0.98,1.79
122,Ireland,IRL,2010,FORD3,0.02,0.07,No data,No data
123,Ireland,IRL,2010,FORD301,No data,0.04,No data,No data
124,Ireland,IRL,2010,FORD302,No data,0.02,No data,No data
125,Ireland,IRL,2010,FORD303,No data,0.01,No data,No data
126,Ireland,IRL,2010,FORD304,No data,0.0,No data,No data
127,Ireland,IRL,2010,FORD305,No data,0.0,No data,No data
128,Ireland,IRL,2010,TOTAL,0.08,0.42,1.1,1.59
129,Ireland,IRL,2015,FORD3,0.01,0.07,No data,No data
130,Ireland,IRL,2015,TOTAL,0.05,0.28,0.85,1.18
131,Ireland,IRL,2019,FORD3,0.0,0.05,No data,No data
132,Ireland,IRL,2019,TOTAL,0.05,0.27,0.91,1.23
133,Ireland,IRL,2020,TOTAL,0.04,0.28,0.75,1.08
134,Italy,ITA,2010,FORD3,0.03,0.05,No data,No data
135,Italy,ITA,2010,TOTAL,0.17,0.35,0.66,1.22
136,Italy,ITA,2015,FORD3,0.04,0.05,No data,No data
137,Italy,ITA,2015,TOTAL,0.18,0.34,0.78,1.34
138,Italy,ITA,2019,FORD3,0.04,0.05,No data,No data
139,Italy,ITA,2019,TOTAL,0.18,0.33,0.92,1.46
140,Italy,ITA,2020,FORD3,0.04,0.05,No data,No data
141,Italy,ITA,2020,TOTAL,0.2,0.35,0.93,1.51
142,Norway,NOR,2010,FORD3,0.04,,No data,No data
143,Norway,NOR,2010,TOTAL,0.27,0.53,0.85,1.65
144,Norway,NOR,2015,FORD3,0.05,0.21,No data,No data
145,Norway,NOR,2015,TOTAL,0.29,0.6,1.04,1.94
146,Norway,NOR,2019,FORD3,0.05,0.24,No data,No data
147,Norway,NOR,2019,TOTAL,0.27,0.74,1.14,2.16
148,Norway,NOR,2020,FORD3,0.06,,No data,No data
149,Norway,NOR,2020,TOTAL,0.28,0.76,1.24,2.28
150,United Kingdom,GBR,2010,FORD3,0.03,0.11,No data,
151,United Kingdom,GBR,2010,TOTAL,0.16,0.44,1.0,1.64
152,United Kingdom,GBR,2015,FORD3,0.01,0.1,No data,
153,United Kingdom,GBR,2015,TOTAL,0.11,0.42,1.09,1.65
154,United Kingdom,GBR,2019,TOTAL,0.12,0.41,1.19,1.76
155,France,FRA,2010,TOTAL,0.31,0.47,1.38,2.18
156,France,FRA,2015,TOTAL,0.29,0.46,1.44,2.23
157,France,FRA,2019,TOTAL,0.27,0.44,1.44,2.19
158,France,FRA,2020,TOTAL,0.27,0.47,1.52,2.3
