Country Code,Country Name,Year,GDP (US$),Population (number),HDI
ABW,Aruba,2010,2.453631285E9,101665.0,
ABW,Aruba,2015,2.963128492E9,104339.0,
ABW,Aruba,2019,3.310055866E9,106310.0,
ABW,Aruba,2020,2.496648045E9,106766.0,
AFE,Africa Eastern And Southern,2010,8.60478348236E11,5.18468229E8,
AFE,Africa Eastern And Southern,2015,9.24252536257E11,5.93871847E8,
AFE,Africa Eastern And Southern,2019,9.97534042075E11,6.60046272E8,
AFE,Africa Eastern And Southern,2020,9.21645942922E11,6.77243299E8,
AFG,Afghanistan,2010,1.5856678596E10,2.9185511E7,0.448
AFG,Afghanistan,2015,1.9134211764E10,3.4413603E7,0.478
AFG,Afghanistan,2019,1.8799450743E10,3.8041757E7,0.488
AFG,Afghanistan,2020,2.0116137326E10,3.8928341E7,0.483
AFW,Africa Western And Central,2010,5.91595778367E11,3.50556886E8,
AFW,Africa Western And Central,2015,7.60734474152E11,4.01586651E8,
AFW,Africa Western And Central,2019,7.945430459E11,4.46911598E8,
AFW,Africa Western And Central,2020,7.84445725635E11,4.58803476E8,
AGO,Angola,2010,8.1699556137E10,2.3356247E7,0.51
AGO,Angola,2015,8.7219290029E10,2.788438E7,0.582
AGO,Angola,2019,6.9309104807E10,3.1825299E7,0.595
AGO,Angola,2020,5.3619071176E10,3.2866268E7,0.59
ALB,Albania,2010,1.1926922829E10,2913021.0,0.754
ALB,Albania,2015,1.138685013E10,2880703.0,0.795
ALB,Albania,2019,1.5401830754E10,2854191.0,0.81
ALB,Albania,2020,1.5131866271E10,2837849.0,0.794
AND,Andorra,2010,3.449925739E9,84454.0,0.848
AND,Andorra,2015,2.789881259E9,77993.0,0.867
AND,Andorra,2019,3.155149348E9,77146.0,0.873
AND,Andorra,2020,2.891001149E9,77265.0,0.848
ARB,Arab World,2010,2.32701009816746E12,3.54890097E8,
ARB,Arab World,2015,2.51870062058627E12,3.96028301E8,
ARB,Arab World,2019,2.80809976457803E12,4.27870273E8,
ARB,Arab World,2020,2.49625118565242E12,4.36080728E8,
ARE,United Arab Emirates,2010,2.89787452662E11,8549998.0,0.835
ARE,United Arab Emirates,2015,3.58134944421E11,9262896.0,0.865
ARE,United Arab Emirates,2019,4.17215559513E11,9770526.0,0.92
