id,Country,Area,rank_2010,rank_2015,rank_2020,rank_2021,score_2010,score_2015,score_2020,score_2021,Year,HAQ Index (IHME (2017)),Code,Life expectancy
0,Afghanistan,Asia-Pacific,162,165,163,163,33.7231987285,33.1927712557,33.5838831864,33.7112429767,1990,24.7,AFG,50.331
1,Afghanistan,Asia-Pacific,162,165,163,163,33.7231987285,33.1927712557,33.5838831864,33.7112429767,1995,24.5,AFG,53.398
2,Afghanistan,Asia-Pacific,162,165,163,163,33.7231987285,33.1927712557,33.5838831864,33.7112429767,2000,24.8,AFG,55.841
3,Afghanistan,Asia-Pacific,162,165,163,163,33.7231987285,33.1927712557,33.5838831864,33.7112429767,2005,27.1,AFG,58.29
4,Afghanistan,Asia-Pacific,162,165,163,163,33.7231987285,33.1927712557,33.5838831864,33.7112429767,2010,29.4,AFG,61.028
5,Afghanistan,Asia-Pacific,162,165,163,163,33.7231987285,33.1927712557,33.5838831864,33.7112429767,2015,32.5,AFG,63.377
6,Albania,Eastern Europe,69,73,70,69,56.1856967496,57.2572033632,59.3030583179,59.5441498645,1990,62.4,ALB,71.836
7,Albania,Eastern Europe,69,73,70,69,56.1856967496,57.2572033632,59.3030583179,59.5441498645,1995,65.1,ALB,72.205
8,Albania,Eastern Europe,69,73,70,69,56.1856967496,57.2572033632,59.3030583179,59.5441498645,2000,68.5,ALB,73.955
9,Albania,Eastern Europe,69,73,70,69,56.1856967496,57.2572033632,59.3030583179,59.5441498645,2005,71.6,ALB,75.228
10,Albania,Eastern Europe,69,73,70,69,56.1856967496,57.2572033632,59.3030583179,59.5441498645,2010,75.3,ALB,76.562
11,Albania,Eastern Europe,69,73,70,69,56.1856967496,57.2572033632,59.3030583179,59.5441498645,2015,78.2,ALB,78.025
12,Algeria,Middle East and North Africa,108,108,108,107,49.3760751207,50.4008184195,52.1828040327,52.191427945,1990,48.2,DZA,66.938
13,Algeria,Middle East and North Africa,108,108,108,107,49.3760751207,50.4008184195,52.1828040327,52.191427945,1995,52.6,DZA,68.54
14,Algeria,Middle East and North Africa,108,108,108,107,49.3760751207,50.4008184195,52.1828040327,52.191427945,2000,56.2,DZA,70.64
15,Algeria,Middle East and North Africa,108,108,108,107,49.3760751207,50.4008184195,52.1828040327,52.191427945,2005,59.6,DZA,73.072
16,Algeria,Middle East and North Africa,108,108,108,107,49.3760751207,50.4008184195,52.1828040327,52.191427945,2010,62.2,DZA,74.938
17,Algeria,Middle East and North Africa,108,108,108,107,49.3760751207,50.4008184195,52.1828040327,52.191427945,2015,63.7,DZA,76.09
18,Angola,Sub-Saharan Africa,154,156,156,156,38.7018584336,38.3829229493,39.5560678427,39.1263289699,1990,25.8,AGO,45.306
19,Angola,Sub-Saharan Africa,154,156,156,156,38.7018584336,38.3829229493,39.5560678427,39.1263289699,1995,28.1,AGO,45.246
20,Angola,Sub-Saharan Africa,154,156,156,156,38.7018584336,38.3829229493,39.5560678427,39.1263289699,2000,31.2,AGO,46.522
21,Angola,Sub-Saharan Africa,154,156,156,156,38.7018584336,38.3829229493,39.5560678427,39.1263289699,2005,35.6,AGO,50.165
