,Rank,Country,Health Care Index (Overall),Infrastructure,Professionals,Cost,Medicine Availability,Government Readiness,Year,HAQ Index (IHME (2017)),Code,Life expectancy
0,1,South Korea,78.72,87.16,14.23,83.59,82.3,87.89,1990,61.7,KOR,71.657
1,1,South Korea,78.72,87.16,14.23,83.59,82.3,87.89,1995,70.5,KOR,73.918
2,1,South Korea,78.72,87.16,14.23,83.59,82.3,87.89,2000,74.6,KOR,76.047
3,1,South Korea,78.72,87.16,14.23,83.59,82.3,87.89,2005,80.4,KOR,78.354
4,1,South Korea,78.72,87.16,14.23,83.59,82.3,87.89,2010,83.9,KOR,80.432
5,1,South Korea,78.72,87.16,14.23,83.59,82.3,87.89,2015,85.8,KOR,82.1
6,2,Taiwan,77.7,79.05,13.06,78.39,78.99,65.09,1990,64.2,TWN,73.92
7,2,Taiwan,77.7,79.05,13.06,78.39,78.99,65.09,1995,66.8,TWN,74.772
8,2,Taiwan,77.7,79.05,13.06,78.39,78.99,65.09,2000,70.1,TWN,76.041
9,2,Taiwan,77.7,79.05,13.06,78.39,78.99,65.09,2005,73.6,TWN,77.613
10,2,Taiwan,77.7,79.05,13.06,78.39,78.99,65.09,2010,77.1,TWN,78.753
11,2,Taiwan,77.7,79.05,13.06,78.39,78.99,65.09,2015,77.6,TWN,79.743
12,3,Denmark,74.11,90.75,30.01,82.59,92.06,96.3,1990,76.6,DNK,74.941
13,3,Denmark,74.11,90.75,30.01,82.59,92.06,96.3,1995,77.2,DNK,75.629
14,3,Denmark,74.11,90.75,30.01,82.59,92.06,96.3,2000,79.5,DNK,76.712
15,3,Denmark,74.11,90.75,30.01,82.59,92.06,96.3,2005,81.9,DNK,77.936
16,3,Denmark,74.11,90.75,30.01,82.59,92.06,96.3,2010,83.6,DNK,79.416
17,3,Denmark,74.11,90.75,30.01,82.59,92.06,96.3,2015,85.7,DNK,80.475
18,4,Austria,71.32,86.18,20.25,78.99,88.23,91.8,1990,74.4,AUT,75.596
19,4,Austria,71.32,86.18,20.25,78.99,88.23,91.8,1995,78.2,AUT,76.823
20,4,Austria,71.32,86.18,20.25,78.99,88.23,91.8,2000,81.6,AUT,78.239
21,4,Austria,71.32,86.18,20.25,78.99,88.23,91.8,2005,84.2,AUT,79.567
22,4,Austria,71.32,86.18,20.25,78.99,88.23,91.8,2010,86.1,AUT,80.622
23,4,Austria,71.32,86.18,20.25,78.99,88.23,91.8,2015,88.2,AUT,81.182
24,5,Japan,70.73,78.77,21.6,74.88,74.18,93.2,1990,78.3,JPN,79.004
25,5,Japan,70.73,78.77,21.6,74.88,74.18,93.2,1995,80.7,JPN,79.935
26,5,Japan,70.73,78.77,21.6,74.88,74.18,93.2,2000,82.9,JPN,81.171
27,5,Japan,70.73,78.77,21.6,74.88,74.18,93.2,2005,85.6,JPN,82.27
28,5,Japan,70.73,78.77,21.6,74.88,74.18,93.2,2010,87.8,JPN,82.971
29,5,Japan,70.73,78.77,21.6,74.88,74.18,93.2,2015,89.0,JPN,83.879
30,6,Australia,67.99,92.58,17.37,96.22,67.51,89.91,1990,78.0,AUS,76.933
31,6,Australia,67.99,92.58,17.37,96.22,67.51,89.91,1995,80.8,AUS,78.267
32,6,Australia,67.99,92.58,17.37,96.22,67.51,89.91,2000,83.7,AUS,79.592
